Proposed Name,Current or Former Name,GNIS Feature ID [NEW],Feature Type,State,County,Fed'l Land Mgmt Agency,Review List,Decision Date,CaseStatus,Primary (Mouth) DD Lat,Primary (Mouth) DD Long,Source DD Lat,Source DD Long,USGS Topo Map,Proposed Name,Current or Former Name,GNIS Feature ID [NEW],Feature Type,State,County,Fed'l Land Mgmt Agency,Review List,Decision Date,CaseStatus,Primary (Mouth) DD Lat,Primary (Mouth) DD Long,Source DD Lat,Source DD Long,USGS Topo Map,Proposed Name.1,Current or Former Name.1,GNIS Feature ID [NEW].1,Feature Type.1,State.1,County.1,Fed'l Land Mgmt Agency.1,Review List.1,Decision Date.1,CaseStatus.1,Primary (Mouth) DD Lat.1,Primary (Mouth) DD Long.1,Source DD Lat.1,Source DD Long.1,USGS Topo Map.1
Wináha’ay Spring,Squaw Spring,1150301.0,spring,OR,Wallowa,FS,405.0,2018-04-12,approved,45.9289216,-117.9381102,,,Bone Spring,Wináha’ay Spring,Squaw Spring,1150301.0,spring,OR,Wallowa,FS,405.0,2018-04-12,approved,45.9289216,-117.9381102,,,Bone Spring,Wináha’ay Spring,Squaw Spring,1150301.0,spring,OR,Wallowa,FS,405.0,2018-04-12,approved,45.9289216,-117.9381102,,,Bone Spring
tíkem Creek,Squaw Creek,1158504.0,stream,OR,Wallowa,FS,421.0,2018-04-12,approved,45.888756,-117.6463016,45.9205556,-117.7341667,Elbow Creek,tíkem Creek,Squaw Creek,1158504.0,stream,OR,Wallowa,FS,421.0,2018-04-12,approved,45.888756,-117.64630159999999,45.92055560000001,-117.73416670000002,Elbow Creek,tíkem Creek,Squaw Creek,1158504.0,stream,OR,Wallowa,FS,421.0,2018-04-12,approved,45.888756,-117.6463016,45.92055560000001,-117.73416670000002,Elbow Creek
Téemux Creek,Squaw Creek,1158505.0,stream,"OR, WA","Wallowa (OR), Columbia (WA)",FS,405.0,2018-04-12,approved,45.9923666,-117.6957482,46.0095884,-117.7260279,Elbow Creek,Téemux Creek,Squaw Creek,1158505.0,stream,"OR, WA","Wallowa (OR), Columbia (WA)",FS,405.0,2018-04-12,approved,45.992366600000004,-117.69574820000001,46.0095884,-117.7260279,Elbow Creek,Téemux Creek,Squaw Creek,1158505.0,stream,"OR, WA","Wallowa (OR), Columbia (WA)",FS,405.0,2018-04-12,approved,45.9923666,-117.6957482,46.0095884,-117.7260279,Elbow Creek
Walaluuks Creek,Squaw Creek,1508660.0,stream,WA,Klickitat,BLM,429.0,2018-04-12,approved,45.79533,-120.4654,45.97457,-120.39055,"Goodnoe Hills, Bickleton NW",Walaluuks Creek,Squaw Creek,1508660.0,stream,WA,Klickitat,BLM,429.0,2018-04-12,approved,45.79533,-120.4654,45.97457,-120.39055,"Goodnoe Hills, Bickleton NW",Walaluuks Creek,Squaw Creek,1508660.0,stream,WA,Klickitat,BLM,429.0,2018-04-12,approved,45.79533,-120.4654,45.97457,-120.39055,"Goodnoe Hills, Bickleton NW"
Pollard Creek,Flowers Creek,1619939.0,stream,MI,Mackinac,,429.0,2018-05-10,not approved,45.9939075,-84.3189176,46.0430728,-84.3911456,"Cedarville, Pickford SE, Hessel",Pollard Creek,Flowers Creek,1619939.0,stream,MI,Mackinac,,429.0,2018-05-10,not approved,45.9939075,-84.31891759999999,46.0430728,-84.39114559999999,"Cedarville, Pickford SE, Hessel",Pollard Creek,Flowers Creek,1619939.0,stream,MI,Mackinac,,429.0,2018-05-10,not approved,45.9939075,-84.31891759999998,46.0430728,-84.39114559999999,"Cedarville, Pickford SE, Hessel"
Regency Lake,Auto Storage Lake Number One,999097.0,reservoir,NC,Iredell,,430.0,2018-05-10,approved,35.5718074,-80.8847969,,,	Lake Norman North,Regency Lake,Auto Storage Lake Number One,999097.0,reservoir,NC,Iredell,,430.0,2018-05-10,approved,35.5718074,-80.8847969,,,	Lake Norman North,Regency Lake,Auto Storage Lake Number One,999097.0,reservoir,NC,Iredell,,430.0,2018-05-10,approved,35.5718074,-80.8847969,,,	Lake Norman North
Six Mile Creek,Sixmile Creek,965323.0,stream,NY,Tompkins,,430.0,2018-05-10,approved,42.4464617,-76.5118856,42.4675723,-76.3288233,"Ithaca West, Ithaca East, Dryden",Six Mile Creek,Sixmile Creek,965323.0,stream,NY,Tompkins,,430.0,2018-05-10,approved,42.4464617,-76.51188559999999,42.4675723,-76.3288233,"Ithaca West, Ithaca East, Dryden",Six Mile Creek,Sixmile Creek,965323.0,stream,NY,Tompkins,,430.0,2018-05-10,approved,42.4464617,-76.51188559999999,42.4675723,-76.3288233,"Ithaca West, Ithaca East, Dryden"
Hunegs Reservoir,Kuenzi Reservoir,1122858.0,reservoir,OR,Marion,,430.0,2018-05-10,approved,44.9637129,-122.8118495,,,Stayton NE,Hunegs Reservoir,Kuenzi Reservoir,1122858.0,reservoir,OR,Marion,,430.0,2018-05-10,approved,44.9637129,-122.81184950000001,,,Stayton NE,Hunegs Reservoir,Kuenzi Reservoir,1122858.0,reservoir,OR,Marion,,430.0,2018-05-10,approved,44.9637129,-122.8118495,,,Stayton NE
Kuenzi Reservoir,Urban Reservoir,1130410.0,reservoir,OR,Marion,,431.0,2018-05-10,approved,44.9636777,-122.8240968,,,Stayton NE,Kuenzi Reservoir,Urban Reservoir,1130410.0,reservoir,OR,Marion,,431.0,2018-05-10,approved,44.9636777,-122.82409679999999,,,Stayton NE,Kuenzi Reservoir,Urban Reservoir,1130410.0,reservoir,OR,Marion,,431.0,2018-05-10,approved,44.9636777,-122.8240968,,,Stayton NE
Urban Reservoir,,2791528.0,reservoir,OR,Marion,,431.0,2018-05-10,approved,44.962448,-122.825041,,,Stayton NE,Urban Reservoir,,2791528.0,reservoir,OR,Marion,,431.0,2018-05-10,approved,44.962447999999995,-122.82504099999998,,,Stayton NE,Urban Reservoir,,2791528.0,reservoir,OR,Marion,,431.0,2018-05-10,approved,44.962448,-122.82504099999998,,,Stayton NE
Rabbit Run,,2791539.0,stream,PA,Berks,,431.0,2018-05-10,approved,40.299709,-75.943718,40.29363,-75.965976,Reading,Rabbit Run,,2791539.0,stream,PA,Berks,,431.0,2018-05-10,approved,40.299709,-75.943718,40.29363,-75.965976,Reading,Rabbit Run,,2791539.0,stream,PA,Berks,,431.0,2018-05-10,approved,40.299709,-75.943718,40.29363,-75.965976,Reading
Nolan Creek,,2791529.0,stream,TN,Tipton,,429.0,2018-05-10,approved,35.61175,-89.73278,35.56692,-89.75606,"Covington, Gilt Edge",Nolan Creek,,2791529.0,stream,TN,Tipton,,429.0,2018-05-10,approved,35.61175,-89.73278,35.56692,-89.75605999999999,"Covington, Gilt Edge",Nolan Creek,,2791529.0,stream,TN,Tipton,,429.0,2018-05-10,approved,35.61175,-89.73278,35.56692,-89.75605999999998,"Covington, Gilt Edge"
Bemis Hill,,2791530.0,ppl,VT,Windham,,431.0,2018-05-10,approved,43.11389,-72.54997,,,Westminster West,Bemis Hill,,2791530.0,ppl,VT,Windham,,431.0,2018-05-10,approved,43.113890000000005,-72.54997,,,Westminster West,Bemis Hill,,2791530.0,ppl,VT,Windham,,431.0,2018-05-10,approved,43.11389000000001,-72.54997,,,Westminster West
Bemis Hill,,2791531.0,summit,VT,Windham,,431.0,2018-05-10,approved,43.09937,-72.5637,,,Westminster West,Bemis Hill,,2791531.0,summit,VT,Windham,,431.0,2018-05-10,approved,43.09937,-72.5637,,,Westminster West,Bemis Hill,,2791531.0,summit,VT,Windham,,431.0,2018-05-10,approved,43.09937,-72.5637,,,Westminster West
Berry Hill,,2791532.0,summit,VT,Windham,,431.0,2018-05-10,approved,43.18704,-72.54456,,,Saxtons River,Berry Hill,,2791532.0,summit,VT,Windham,,431.0,2018-05-10,approved,43.18704,-72.54456,,,Saxtons River,Berry Hill,,2791532.0,summit,VT,Windham,,431.0,2018-05-10,approved,43.18704,-72.54456,,,Saxtons River
Hitchcock Hill,,2791533.0,summit,VT,Windham,,431.0,2018-05-10,approved,43.13294,-72.55211,,,Saxtons River,Hitchcock Hill,,2791533.0,summit,VT,Windham,,431.0,2018-05-10,approved,43.132940000000005,-72.55211,,,Saxtons River,Hitchcock Hill,,2791533.0,summit,VT,Windham,,431.0,2018-05-10,approved,43.13294000000001,-72.55211,,,Saxtons River
Hyde Hill,,2791534.0,ppl,VT,Windham,,431.0,2018-05-10,approved,43.13874,-72.45636,,,Bellows Falls,Hyde Hill,,2791534.0,ppl,VT,Windham,,431.0,2018-05-10,approved,43.138740000000006,-72.45636,,,Bellows Falls,Hyde Hill,,2791534.0,ppl,VT,Windham,,431.0,2018-05-10,approved,43.13874000000001,-72.45636,,,Bellows Falls
Hyde Hill,,2791535.0,slope,VT,Windham,,431.0,2018-05-10,approved,43.13657,-72.45655,,,Bellows Falls,Hyde Hill,,2791535.0,slope,VT,Windham,,431.0,2018-05-10,approved,43.13657,-72.45655,,,Bellows Falls,Hyde Hill,,2791535.0,slope,VT,Windham,,431.0,2018-05-10,approved,43.13657,-72.45655,,,Bellows Falls
Rockingham Hill,,2791536.0,summit,VT,Windham,,431.0,2018-05-10,approved,43.17268,-72.50553,,,Saxtons River,Rockingham Hill,,2791536.0,summit,VT,Windham,,431.0,2018-05-10,approved,43.17268,-72.50553000000001,,,Saxtons River,Rockingham Hill,,2791536.0,summit,VT,Windham,,431.0,2018-05-10,approved,43.17268,-72.50553000000002,,,Saxtons River
Shepard Hill,,2791537.0,summit,VT,Windham,,431.0,2018-05-10,approved,43.1664,-72.51149,,,Saxtons River,Shepard Hill,,2791537.0,summit,VT,Windham,,431.0,2018-05-10,approved,43.1664,-72.51149000000001,,,Saxtons River,Shepard Hill,,2791537.0,summit,VT,Windham,,431.0,2018-05-10,approved,43.1664,-72.51149000000002,,,Saxtons River
Wiley Hill,,2791538.0,summit,VT,Windham,,431.0,2018-05-10,approved,43.19644,-72.53296,,,Saxtons River,Wiley Hill,,2791538.0,summit,VT,Windham,,431.0,2018-05-10,approved,43.19644,-72.53296,,,Saxtons River,Wiley Hill,,2791538.0,summit,VT,Windham,,431.0,2018-05-10,approved,43.19644,-72.53296,,,Saxtons River
Lagoon Island,,1405164.0,island,AK,Hoonah-Angoon (CA),NPS,0.0,2018-06-21,approved,58.4592565,-135.8711408,,,Juneau B-6,Lagoon Island,,1405164.0,island,AK,Hoonah-Angoon (CA),NPS,0.0,2018-06-21,approved,58.459256499999995,-135.8711408,,,Juneau B-6,Lagoon Island,,1405164.0,island,AK,Hoonah-Angoon (CA),NPS,0.0,2018-06-21,approved,58.4592565,-135.8711408,,,Juneau B-6
Grumpys Brook,,2791691.0,stream,MA,Plymouth,,431.0,2018-06-21,approved,41.935185,-70.805438,41.93623,-70.792273,Plympton,Grumpys Brook,,2791691.0,stream,MA,Plymouth,,431.0,2018-06-21,approved,41.935185,-70.805438,41.93623,-70.792273,Plympton,Grumpys Brook,,2791691.0,stream,MA,Plymouth,,431.0,2018-06-21,approved,41.935185,-70.805438,41.93623,-70.792273,Plympton
Emmord Branch,,588407.0,stream,MD,Harford,DOD,430.0,2018-06-21,approved,39.399784,-76.328455,39.4191,-76.31213,Edgewood,Emmord Branch,,588407.0,stream,MD,Harford,DOD,430.0,2018-06-21,approved,39.399784000000004,-76.328455,39.4191,-76.31213000000001,Edgewood,Emmord Branch,,588407.0,stream,MD,Harford,DOD,430.0,2018-06-21,approved,39.399784,-76.328455,39.4191,-76.31213000000002,Edgewood
Bde Maka Ska,Lake Calhoun,640736.0,lake,MN,Hennepin,,431.0,2018-06-21,approved,44.9418644,-93.3117332,,,Minneapolis South,Bde Maka Ska,Lake Calhoun,640736.0,lake,MN,Hennepin,,431.0,2018-06-21,approved,44.9418644,-93.3117332,,,Minneapolis South,Bde Maka Ska,Lake Calhoun,640736.0,lake,MN,Hennepin,,431.0,2018-06-21,approved,44.9418644,-93.3117332,,,Minneapolis South
Grass Lake,,2791679.0,lake,MN,Hennepin,,431.0,2018-06-21,approved,44.8928,-93.2982,,,Minneapolis South,Grass Lake,,2791679.0,lake,MN,Hennepin,,431.0,2018-06-21,approved,44.8928,-93.2982,,,Minneapolis South,Grass Lake,,2791679.0,lake,MN,Hennepin,,431.0,2018-06-21,approved,44.8928,-93.2982,,,Minneapolis South
Archer Alexander Creek,,2791759.0,stream,MO,St. Charles,,431.0,2018-06-21,approved,38.742734,-90.687339,38.77273,-90.6907,"Weldon Spring, O'Fallon",Archer Alexander Creek,,2791759.0,stream,MO,St. Charles,,431.0,2018-06-21,approved,38.742734000000006,-90.687339,38.772729999999996,-90.6907,"Weldon Spring, O'Fallon",Archer Alexander Creek,,2791759.0,stream,MO,St. Charles,,431.0,2018-06-21,approved,38.74273400000001,-90.687339,38.77273,-90.6907,"Weldon Spring, O'Fallon"
Mombaccus Creek,Rochester Creek (in part),957498.0,stream,NY,Ulster,,431.0,2018-06-21,approved,41.790371,-74.2273699,41.8736111,-74.3602778,Mohonk Lake (mouth),Mombaccus Creek,Rochester Creek (in part),957498.0,stream,NY,Ulster,,431.0,2018-06-21,approved,41.790371,-74.2273699,41.873611100000005,-74.36027779999999,Mohonk Lake (mouth),Mombaccus Creek,Rochester Creek (in part),957498.0,stream,NY,Ulster,,431.0,2018-06-21,approved,41.790371,-74.2273699,41.87361110000001,-74.36027779999998,Mohonk Lake (mouth)
Rochester Creek,,962687.0,stream,NY,Ulster,,431.0,2018-06-21,approved,41.796918,-74.247773,41.8753707,-74.2359806,Mohonk Lake (mouth),Rochester Creek,,962687.0,stream,NY,Ulster,,431.0,2018-06-21,approved,41.796918,-74.247773,41.875370700000005,-74.2359806,Mohonk Lake (mouth),Rochester Creek,,962687.0,stream,NY,Ulster,,431.0,2018-06-21,approved,41.796918,-74.247773,41.87537070000001,-74.2359806,Mohonk Lake (mouth)
Fox Run,,2791680.0,stream,OH,Fairfield,,429.0,2018-06-21,approved,39.90787,-82.74968,39.92139,-82.7294,Pataskala,Fox Run,,2791680.0,stream,OH,Fairfield,,429.0,2018-06-21,approved,39.90787,-82.74968,39.92139,-82.7294,Pataskala,Fox Run,,2791680.0,stream,OH,Fairfield,,429.0,2018-06-21,approved,39.90787,-82.74968,39.92139,-82.7294,Pataskala
Rattlesnake Rock,,2791681.0,pillar,OR,Sherman,,430.0,2018-06-21,approved,45.655732,-120.854254,,,Biggs Junction,Rattlesnake Rock,,2791681.0,pillar,OR,Sherman,,430.0,2018-06-21,approved,45.655732,-120.854254,,,Biggs Junction,Rattlesnake Rock,,2791681.0,pillar,OR,Sherman,,430.0,2018-06-21,approved,45.655732,-120.854254,,,Biggs Junction
Panther Creek,,2791760.0,stream,PA,"Lackawanna, Wayne",,429.0,2018-06-21,approved,41.60372,-75.46909,41.59302,-75.45041,Waymart,Panther Creek,,2791760.0,stream,PA,"Lackawanna, Wayne",,429.0,2018-06-21,approved,41.60372,-75.46909000000001,41.59302,-75.45040999999999,Waymart,Panther Creek,,2791760.0,stream,PA,"Lackawanna, Wayne",,429.0,2018-06-21,approved,41.60372,-75.46909000000002,41.59302,-75.45040999999998,Waymart
Enola Run,,2791682.0,stream,PA,Cumberland,,431.0,2018-06-21,approved,40.275218,-76.929873,40.303583,-76.952103,Harrisburg West,Enola Run,,2791682.0,stream,PA,Cumberland,,431.0,2018-06-21,approved,40.275218,-76.929873,40.303583,-76.95210300000001,Harrisburg West,Enola Run,,2791682.0,stream,PA,Cumberland,,431.0,2018-06-21,approved,40.275218,-76.929873,40.303583,-76.95210300000002,Harrisburg West
Emancipation Pond,Negro Pond,1342411.0,swamp,TX,Montgomery,,431.0,2018-06-21,approved,30.130498,-95.314971,,,Outlaw Pond,Emancipation Pond,Negro Pond,1342411.0,swamp,TX,Montgomery,,431.0,2018-06-21,approved,30.130498,-95.314971,,,Outlaw Pond,Emancipation Pond,Negro Pond,1342411.0,swamp,TX,Montgomery,,431.0,2018-06-21,approved,30.130498,-95.314971,,,Outlaw Pond
Swaram Creek,Squaw Creek,1526453.0,stream,WA,Okanogan,FS,430.0,2018-06-21,approved,48.0901416,-120.017574,48.07776,-120.14289,"Cooper Mountain, Oss Peak",Swaram Creek,Squaw Creek,1526453.0,stream,WA,Okanogan,FS,430.0,2018-06-21,approved,48.0901416,-120.017574,48.07776,-120.14289,"Cooper Mountain, Oss Peak",Swaram Creek,Squaw Creek,1526453.0,stream,WA,Okanogan,FS,430.0,2018-06-21,approved,48.0901416,-120.017574,48.07776,-120.14289,"Cooper Mountain, Oss Peak"
Congdon Pond,,2791683.0,reservoir,WI,Walworth,,431.0,2018-06-21,approved,42.62943,-88.620642,,,Elkhorn,Congdon Pond,,2791683.0,reservoir,WI,Walworth,,431.0,2018-06-21,approved,42.62943,-88.620642,,,Elkhorn,Congdon Pond,,2791683.0,reservoir,WI,Walworth,,431.0,2018-06-21,approved,42.62943,-88.620642,,,Elkhorn
Gorney Park Pond,,2791684.0,reservoir,WI,Racine,,431.0,2018-06-21,approved,42.8329968,-87.8898588,,,Franksville,Gorney Park Pond,,2791684.0,reservoir,WI,Racine,,431.0,2018-06-21,approved,42.8329968,-87.8898588,,,Franksville,Gorney Park Pond,,2791684.0,reservoir,WI,Racine,,431.0,2018-06-21,approved,42.8329968,-87.8898588,,,Franksville
Lake Andrea,,2791685.0,reservoir,WI,Kenosha,,431.0,2018-06-21,approved,42.5309691,-87.9196541,,,Pleasant Prairie,Lake Andrea,,2791685.0,reservoir,WI,Kenosha,,431.0,2018-06-21,approved,42.5309691,-87.9196541,,,Pleasant Prairie,Lake Andrea,,2791685.0,reservoir,WI,Kenosha,,431.0,2018-06-21,approved,42.5309691,-87.9196541,,,Pleasant Prairie
Lockwood Park Pond,,2791686.0,reservoir,WI,Racine,,431.0,2018-06-21,approved,42.7264891,-87.8332299,,,Racine South,Lockwood Park Pond,,2791686.0,reservoir,WI,Racine,,431.0,2018-06-21,approved,42.7264891,-87.8332299,,,Racine South,Lockwood Park Pond,,2791686.0,reservoir,WI,Racine,,431.0,2018-06-21,approved,42.7264891,-87.8332299,,,Racine South
Millpond Park Pond,,2791687.0,reservoir,WI,Walworth,,431.0,2018-06-21,approved,42.778952,-88.406211,,,East Troy,Millpond Park Pond,,2791687.0,reservoir,WI,Walworth,,431.0,2018-06-21,approved,42.778952000000004,-88.406211,,,East Troy,Millpond Park Pond,,2791687.0,reservoir,WI,Walworth,,431.0,2018-06-21,approved,42.778952,-88.406211,,,East Troy
Pritchard Park Pond,,2791688.0,reservoir,WI,Racine,,431.0,2018-06-21,approved,42.7003799,-87.8381387,,,Racine South,Pritchard Park Pond,,2791688.0,reservoir,WI,Racine,,431.0,2018-06-21,approved,42.7003799,-87.8381387,,,Racine South,Pritchard Park Pond,,2791688.0,reservoir,WI,Racine,,431.0,2018-06-21,approved,42.7003799,-87.8381387,,,Racine South
Quarry Lake,,2791689.0,reservoir,WI,Racine,,431.0,2018-06-21,approved,42.7489327,-87.8226732,,,Racine South,Quarry Lake,,2791689.0,reservoir,WI,Racine,,431.0,2018-06-21,approved,42.748932700000005,-87.82267320000001,,,Racine South,Quarry Lake,,2791689.0,reservoir,WI,Racine,,431.0,2018-06-21,approved,42.74893270000001,-87.82267320000003,,,Racine South
Reservoir Park Pond,,2791690.0,reservoir,WI,Racine,,431.0,2018-06-21,approved,42.694847,-87.83404,,,Racine South,Reservoir Park Pond,,2791690.0,reservoir,WI,Racine,,431.0,2018-06-21,approved,42.694846999999996,-87.83404,,,Racine South,Reservoir Park Pond,,2791690.0,reservoir,WI,Racine,,431.0,2018-06-21,approved,42.694847,-87.83404,,,Racine South
Bergh Peak,,,summit,AK,Denali Borough,NPS,431.0,2018-08-09,not approved,63.484158,-150.188738,,,Denali B-1,Bergh Peak,,,summit,AK,Denali Borough,NPS,431.0,2018-08-09,not approved,63.484157999999994,-150.188738,,,Denali B-1,Bergh Peak,,,summit,AK,Denali Borough,NPS,431.0,2018-08-09,not approved,63.484158,-150.188738,,,Denali B-1
Wintu Bay,Digger Bay,222371.0,bay,CA,Shasta,FS,430.0,2018-08-09,approved,40.7257052,-122.3902876,,,Shasta Dam,Wintu Bay,Digger Bay,222371.0,bay,CA,Shasta,FS,430.0,2018-08-09,approved,40.7257052,-122.3902876,,,Shasta Dam,Wintu Bay,Digger Bay,222371.0,bay,CA,Shasta,FS,430.0,2018-08-09,approved,40.7257052,-122.3902876,,,Shasta Dam
Wintu Creek,Digger Creek,222380.0,stream,CA,Shasta,FS,430.0,2018-08-09,approved,40.7254275,-122.3855651,40.729872,-122.3702868,"Shasta Dam, City of Shasta Lake",Wintu Creek,Digger Creek,222380.0,stream,CA,Shasta,FS,430.0,2018-08-09,approved,40.7254275,-122.38556509999998,40.729872,-122.3702868,"Shasta Dam, City of Shasta Lake",Wintu Creek,Digger Creek,222380.0,stream,CA,Shasta,FS,430.0,2018-08-09,approved,40.7254275,-122.38556509999998,40.729872,-122.3702868,"Shasta Dam, City of Shasta Lake"
Pruett Lake,Pruitt Lake,265053.0,lake,CA,Tuolumne,FS,429.0,2018-08-09,approved,38.1122842,-119.7619067,,,Kibbie Lake,Pruett Lake,Pruitt Lake,265053.0,lake,CA,Tuolumne,FS,429.0,2018-08-09,approved,38.1122842,-119.7619067,,,Kibbie Lake,Pruett Lake,Pruitt Lake,265053.0,lake,CA,Tuolumne,FS,429.0,2018-08-09,approved,38.1122842,-119.7619067,,,Kibbie Lake
Moody Creek,,2796944.0,stream,CA,Santa Clara,,429.0,2018-08-09,approved,37.35325,-122.15439,37.364397,-122.17113,Mindego Hill,Moody Creek,,2796944.0,stream,CA,Santa Clara,,429.0,2018-08-09,approved,37.35325,-122.15438999999999,37.364397,-122.17113,Mindego Hill,Moody Creek,,2796944.0,stream,CA,Santa Clara,,429.0,2018-08-09,approved,37.35325,-122.15439,37.364397,-122.17113,Mindego Hill
Breadloaf Peak,,,summit,CA,Tulare,FS,430.0,2018-08-09,not approved,35.830969,-118.548429,,,Tobias Peak,Breadloaf Peak,,,summit,CA,Tulare,FS,430.0,2018-08-09,not approved,35.830969,-118.548429,,,Tobias Peak,Breadloaf Peak,,,summit,CA,Tulare,FS,430.0,2018-08-09,not approved,35.830969,-118.548429,,,Tobias Peak
Emmas Pond,,2796942.0,lake,FL,Orange,,430.0,2018-08-09,approved,28.52938,-81.50946,,,Winter Garden,Emmas Pond,,2796942.0,lake,FL,Orange,,430.0,2018-08-09,approved,28.52938,-81.50946,,,Winter Garden,Emmas Pond,,2796942.0,lake,FL,Orange,,430.0,2018-08-09,approved,28.52938,-81.50946,,,Winter Garden
Weis Creek,,2796943.0,stream,IL,Kendall,,429.0,2018-08-09,approved,41.6414,-88.478,41.63742,-88.4762,Yorkville,Weis Creek,,2796943.0,stream,IL,Kendall,,429.0,2018-08-09,approved,41.6414,-88.478,41.63742,-88.4762,Yorkville,Weis Creek,,2796943.0,stream,IL,Kendall,,429.0,2018-08-09,approved,41.6414,-88.478,41.63742,-88.4762,Yorkville
Johnson Creek,Negro Creek,1295334.0,stream,TN,Maury,,431.0,2018-08-09,approved,35.5750719,-86.9444477,35.6161111,-86.925,Glendale,Johnson Creek,Negro Creek,1295334.0,stream,TN,Maury,,431.0,2018-08-09,approved,35.5750719,-86.94444770000001,35.616111100000005,-86.925,Glendale,Johnson Creek,Negro Creek,1295334.0,stream,TN,Maury,,431.0,2018-08-09,approved,35.5750719,-86.94444770000001,35.61611110000001,-86.925,Glendale
Dry Fork,,491195.0,stream,KY,Union,,431.0,2018-09-13,approved,37.779217,-87.891998,37.7538889,-87.8966667,Uniontown,Dry Fork,,491195.0,stream,KY,Union,,431.0,2018-09-13,approved,37.779216999999996,-87.891998,37.7538889,-87.8966667,Uniontown,Dry Fork,,491195.0,stream,KY,Union,,431.0,2018-09-13,approved,37.779217,-87.891998,37.7538889,-87.8966667,Uniontown
Jincy Creek,,2797081.0,stream,NC,Forsyth,,430.0,2018-09-13,approved,36.037222,-80.315398,36.0469,-80.31251,Winston-Salem West,Jincy Creek,,2797081.0,stream,NC,Forsyth,,430.0,2018-09-13,approved,36.037222,-80.315398,36.0469,-80.31251,Winston-Salem West,Jincy Creek,,2797081.0,stream,NC,Forsyth,,430.0,2018-09-13,approved,36.037222,-80.315398,36.0469,-80.31251,Winston-Salem West
Wren Creek,,2797087.0,stream,NC,Mecklenburg,,431.0,2018-09-13,approved,35.07391,-80.84361,35.0776,-80.84503,Weddington,Wren Creek,,2797087.0,stream,NC,Mecklenburg,,431.0,2018-09-13,approved,35.07391,-80.84361,35.0776,-80.84503000000001,Weddington,Wren Creek,,2797087.0,stream,NC,Mecklenburg,,431.0,2018-09-13,approved,35.07391,-80.84361,35.0776,-80.84503000000002,Weddington
Kimel Branch,,2797082.0,stream,NC,Forsyth,,431.0,2018-09-13,approved,36.03386,-80.31218,36.057772,-80.312161,Winston-Salem West,Kimel Branch,,2797082.0,stream,NC,Forsyth,,431.0,2018-09-13,approved,36.03386,-80.31218,36.057772,-80.312161,Winston-Salem West,Kimel Branch,,2797082.0,stream,NC,Forsyth,,431.0,2018-09-13,approved,36.03386,-80.31218,36.057772,-80.312161,Winston-Salem West
Carrie Creek,,2797083.0,stream,NC,Forsyth,,431.0,2018-09-13,approved,36.04169,-80.31829,36.04457,-80.32582,Winston-Salem West,Carrie Creek,,2797083.0,stream,NC,Forsyth,,431.0,2018-09-13,approved,36.04169,-80.31829,36.04457,-80.32582,Winston-Salem West,Carrie Creek,,2797083.0,stream,NC,Forsyth,,431.0,2018-09-13,approved,36.04169,-80.31829,36.04457,-80.32582,Winston-Salem West
Sophie Creek,,2797084.0,stream,NC,Forsyth,,431.0,2018-09-13,approved,36.044655,-80.318462,36.047957,-80.321836,Winston-Salem West,Sophie Creek,,2797084.0,stream,NC,Forsyth,,431.0,2018-09-13,approved,36.044655,-80.318462,36.047957000000004,-80.321836,Winston-Salem West,Sophie Creek,,2797084.0,stream,NC,Forsyth,,431.0,2018-09-13,approved,36.044655,-80.318462,36.047957,-80.321836,Winston-Salem West
Bethel Branch,,2797085.0,stream,NC,Forsyth,,431.0,2018-09-13,approved,36.04521,-80.299,36.0534,-80.30615,Winston-Salem West,Bethel Branch,,2797085.0,stream,NC,Forsyth,,431.0,2018-09-13,approved,36.04521,-80.29899999999999,36.0534,-80.30615,Winston-Salem West,Bethel Branch,,2797085.0,stream,NC,Forsyth,,431.0,2018-09-13,approved,36.04521,-80.29899999999998,36.0534,-80.30615,Winston-Salem West
Sandy Branch,,2797086.0,stream,NC,Forsyth,,431.0,2018-09-13,approved,36.04084,-80.30203,36.048786,-80.307869,Winston-Salem West,Sandy Branch,,2797086.0,stream,NC,Forsyth,,431.0,2018-09-13,approved,36.04084,-80.30203,36.048786,-80.307869,Winston-Salem West,Sandy Branch,,2797086.0,stream,NC,Forsyth,,431.0,2018-09-13,approved,36.04084,-80.30203,36.048786,-80.307869,Winston-Salem West
Dunn Butte,,2797088.0,summit,NV,Washoe,BLM,432.0,2018-09-13,approved,41.991714,-119.973801,,,Barrel Springs,Dunn Butte,,2797088.0,summit,NV,Washoe,BLM,432.0,2018-09-13,approved,41.991714,-119.973801,,,Barrel Springs,Dunn Butte,,2797088.0,summit,NV,Washoe,BLM,432.0,2018-09-13,approved,41.991714,-119.973801,,,Barrel Springs
Ramsey Summit,,2797089.0,gap,NV,Storey,BLM,432.0,2018-09-13,approved,39.477668,-119.400516,,,Martin Canyon,Ramsey Summit,,2797089.0,gap,NV,Storey,BLM,432.0,2018-09-13,approved,39.477668,-119.400516,,,Martin Canyon,Ramsey Summit,,2797089.0,gap,NV,Storey,BLM,432.0,2018-09-13,approved,39.477668,-119.400516,,,Martin Canyon
